BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,Hard_Default,50,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,Hard_Default,98,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
Hard_Default,bot5,bot5,bot5,28,False
Hard_Default,bot5,Hard_Default,bot5,27,False
