Rank,BotName,Score,Winrate,Wins,Losses,Draws,TotalGames,AverageTurns
1,bot8,72.17,67.92,815,283,102,1200,68.05
2,Hard_Default,71.96,67.50,810,283,107,1200,69.02
3,bot7,50.92,43.17,518,496,186,1200,63.21
4,bot6,43.92,43.50,522,668,10,1200,39.62
5,bot5,11.04,10.50,126,1061,13,1200,50.75
