MatchupName,BotAName,BotBName,LeaderName,TotalGames,BotAWins,BotBWins,Draws,BotAWinrate,BotBWinrate,LeaderWinrate,BotAStartedGames,BotAStartedWins,BotBStartedGames,BotBStartedWins,BotAStartedWinrate,BotBStartedWinrate,AverageTurns,MinTurns,MaxTurns,OneSidedLeaderPValue,StatisticallySignificant
Hard_Default vs bot1,Hard_Default,bot1,Hard_Default,300,149,145,6,49.6667,48.3333,50.6803,150,142,150,137,94.6667,91.3333,51.5833,22,200,0.407770,False
Hard_Default vs bot2,Hard_Default,bot2,Hard_Default,300,145,140,15,48.3333,46.6667,50.8772,150,134,150,135,89.3333,90.0000,58.4400,28,200,0.383549,False
Hard_Default vs bot3,Hard_Default,bot3,Hard_Default,300,156,138,6,52.0000,46.0000,53.0612,150,149,150,138,99.3333,92.0000,37.1433,30,200,0.146909,False
Hard_Default vs bot4,Hard_Default,bot4,bot4,300,113,174,13,37.6667,58.0000,60.6272,150,112,150,139,74.6667,92.6667,78.6033,24,200,0.000159,True
Hard_Default vs bot5,Hard_Default,bot5,Hard_Default,300,246,48,6,82.0000,16.0000,83.6735,150,143,150,45,95.3333,30.0000,69.6733,27,200,0.000000,True
Hard_Default vs bot6,Hard_Default,bot6,Hard_Default,300,262,37,1,87.3333,12.3333,87.6254,150,144,150,31,96.0000,20.6667,43.0533,24,200,0.000000,True
Hard_Default vs bot7,Hard_Default,bot7,Hard_Default,300,160,41,99,53.3333,13.6667,79.6020,150,142,150,33,94.6667,22.0000,95.5833,24,200,0.000000,True
Hard_Default vs bot8,Hard_Default,bot8,bot8,300,144,149,7,48.0000,49.6667,50.8532,150,138,150,138,92.0000,92.0000,69.4767,28,200,0.385104,False
bot1 vs bot2,bot1,bot2,bot2,300,40,254,6,13.3333,84.6667,86.3946,150,17,150,122,11.3333,81.3333,46.9600,29,200,0.000000,True
bot1 vs bot3,bot1,bot3,bot1,300,281,19,0,93.6667,6.3333,93.6667,150,136,150,5,90.6667,3.3333,32.7633,22,60,0.000000,True
bot1 vs bot4,bot1,bot4,bot1,300,270,30,0,90.0000,10.0000,90.0000,150,135,150,15,90.0000,10.0000,41.0133,27,92,0.000000,True
bot1 vs bot5,bot1,bot5,bot1,300,155,145,0,51.6667,48.3333,51.6667,150,26,150,21,17.3333,14.0000,36.6600,22,98,0.281851,False
bot1 vs bot6,bot1,bot6,bot6,300,17,282,1,5.6667,94.0000,94.3144,150,9,150,142,6.0000,94.6667,39.4300,20,200,0.000000,True
bot1 vs bot7,bot1,bot7,bot7,300,23,269,8,7.6667,89.6667,92.1233,150,12,150,139,8.0000,92.6667,42.3367,20,200,0.000000,True
bot1 vs bot8,bot1,bot8,bot8,300,134,155,11,44.6667,51.6667,53.6332,150,126,150,142,84.0000,94.6667,53.3600,22,200,0.108361,False
bot2 vs bot3,bot2,bot3,bot3,300,147,149,4,49.0000,49.6667,50.3378,150,134,150,133,89.3333,88.6667,38.8167,32,200,0.453728,False
bot2 vs bot4,bot2,bot4,bot2,300,148,147,5,49.3333,49.0000,50.1695,150,134,150,131,89.3333,87.3333,57.3567,27,200,0.476786,False
bot2 vs bot5,bot2,bot5,bot5,300,34,257,9,11.3333,85.6667,88.3162,150,12,150,119,8.0000,79.3333,52.9200,27,200,0.000000,True
bot2 vs bot6,bot2,bot6,bot6,300,142,158,0,47.3333,52.6667,52.6667,150,4,150,12,2.6667,8.0000,36.8000,24,174,0.177806,False
bot2 vs bot7,bot2,bot7,bot7,300,132,156,12,44.0000,52.0000,54.1667,150,18,150,24,12.0000,16.0000,53.3500,27,200,0.078650,False
bot2 vs bot8,bot2,bot8,Tie,300,143,143,14,47.6667,47.6667,0.0000,150,139,150,136,92.6667,90.6667,57.9433,28,200,1.000000,False
bot3 vs bot4,bot3,bot4,bot4,300,139,160,1,46.3333,53.3333,53.5117,150,139,150,150,92.6667,100.0000,40.0000,27,200,0.112286,False
bot3 vs bot5,bot3,bot5,bot5,300,13,278,9,4.3333,92.6667,95.5326,150,12,150,140,8.0000,93.3333,34.5833,27,200,0.000000,True
bot3 vs bot6,bot3,bot6,bot6,300,12,288,0,4.0000,96.0000,96.0000,150,4,150,142,2.6667,94.6667,31.0933,24,105,0.000000,True
bot3 vs bot7,bot3,bot7,bot7,300,33,265,2,11.0000,88.3333,88.9262,150,25,150,141,16.6667,94.0000,31.6900,27,200,0.000000,True
bot3 vs bot8,bot3,bot8,bot8,300,136,157,7,45.3333,52.3333,53.5836,150,135,150,149,90.0000,99.3333,36.1600,30,200,0.109943,False
bot4 vs bot5,bot4,bot5,bot5,300,29,269,2,9.6667,89.6667,90.2685,150,11,150,132,7.3333,88.0000,34.4533,27,200,0.000000,True
bot4 vs bot6,bot4,bot6,bot6,300,31,187,82,10.3333,62.3333,85.7798,150,23,150,60,15.3333,40.0000,81.5167,20,200,0.000000,True
bot4 vs bot7,bot4,bot7,bot7,300,41,234,25,13.6667,78.0000,85.0909,150,11,150,95,7.3333,63.3333,64.0467,20,200,0.000000,True
bot4 vs bot8,bot4,bot8,bot4,300,160,131,9,53.3333,43.6667,54.9828,150,135,150,123,90.0000,82.0000,76.5667,24,200,0.044564,True
bot5 vs bot6,bot5,bot6,bot6,300,17,281,2,5.6667,93.6667,94.2953,150,10,150,141,6.6667,94.0000,32.7400,24,200,0.000000,True
bot5 vs bot7,bot5,bot7,bot7,300,26,269,5,8.6667,89.6667,91.1864,150,14,150,133,9.3333,88.6667,34.4600,27,200,0.000000,True
bot5 vs bot8,bot5,bot8,bot8,300,53,245,2,17.6667,81.6667,82.2148,150,42,150,137,28.0000,91.3333,66.8567,27,200,0.000000,True
bot6 vs bot7,bot6,bot7,bot6,300,156,140,4,52.0000,46.6667,52.7027,150,147,150,137,98.0000,91.3333,37.4100,24,200,0.176190,False
bot6 vs bot8,bot6,bot8,bot8,300,34,261,5,11.3333,87.0000,88.4746,150,26,150,141,17.3333,94.0000,46.0900,24,200,0.000000,True
bot7 vs bot8,bot7,bot8,bot8,300,55,155,90,18.3333,51.6667,73.8095,150,48,150,143,32.0000,95.3333,90.5867,24,200,0.000000,True
