Rank,BotName,Score,Winrate,Wins,Losses,Draws,TotalGames,AverageTurns
1,bot7,64.65,59.54,1429,726,245,2400,56.18
2,bot6,61.27,59.29,1423,882,95,2400,43.52
3,bot8,61.19,58.17,1396,859,145,2400,62.13
4,Hard_Default,60.48,57.29,1375,872,153,2400,62.94
5,bot2,48.85,47.50,1140,1195,65,2400,50.32
6,bot5,46.27,45.54,1093,1272,35,2400,45.29
7,bot1,45.04,44.38,1065,1303,32,2400,43.01
8,bot4,35.02,32.17,772,1491,137,2400,59.19
9,bot3,27.23,26.62,639,1732,29,2400,35.28
