BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,28,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,32,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,44,False
Hard_Default,bot1,bot1,bot1,28,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,None,200,True
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,126,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,44,False
Hard_Default,bot1,bot1,Hard_Default,38,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,44,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,bot1,22,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,None,200,True
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,46,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,32,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,bot1,22,False
Hard_Default,bot1,bot1,Hard_Default,123,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,Hard_Default,38,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,32,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
Hard_Default,bot1,bot1,bot1,53,False
Hard_Default,bot1,Hard_Default,Hard_Default,48,False
