BotAName,BotBName,StartingBotName,Winner,Turns,ReachedTurnLimit
Hard_Default,bot6,Hard_Default,bot6,32,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,Hard_Default,24,False
Hard_Default,bot6,bot6,bot6,32,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,28,False
Hard_Default,bot6,Hard_Default,Hard_Default,64,False
Hard_Default,bot6,bot6,Hard_Default,46,False
Hard_Default,bot6,Hard_Default,Hard_Default,40,False
Hard_Default,bot6,bot6,Hard_Default,20,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,45,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,32,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,32,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,Hard_Default,64,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,32,False
Hard_Default,bot6,Hard_Default,Hard_Default,24,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,28,False
Hard_Default,bot6,Hard_Default,Hard_Default,40,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,28,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,bot6,27,False
Hard_Default,bot6,bot6,bot6,36,False
Hard_Default,bot6,Hard_Default,Hard_Default,40,False
Hard_Default,bot6,bot6,bot6,36,False
