Rank,BotName,Score,Winrate,Wins,Losses,Draws,TotalGames,AverageTurns
1,bot8,64.00,60.44,544,292,64,900,58.32
2,bot7,54.44,50.89,458,378,64,900,49.42
3,bot6,52.94,52.33,471,418,11,900,39.74
4,Hard_Default,28.61,27.56,248,633,19,900,43.14
