Rank,BotName,Score,Winrate,Wins,Losses,Draws,TotalGames,AverageTurns
1,bot8,72.33,67.33,808,272,120,1200,70.61
2,Hard_Default,72.21,67.58,811,278,111,1200,69.44
3,bot7,50.71,42.17,506,489,205,1200,64.47
4,bot6,43.25,42.58,511,673,16,1200,40.74
5,bot5,11.50,11.08,133,1057,10,1200,49.85
